Movie,Rating,Genre,Summary,Duration,Year
Fight Club,8.8,Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",,1999
Inception,8.8,Action,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,,2010
The Matrix,8.7,Action,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,,1999
12 Angry Men,8.9,Crime,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,,1957
Schindler's List,8.9,Biography,"In German-occupied Poland during World War II, industrialist",,1993
The Shawshank Redemption,9.3,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",2h 22min,1994
Goodfellas,8.7,Biography,The story of,,1990
The Lord of the Rings: The Fellowship of the Ring,8.8,Action,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,,2001
Pulp Fiction,8.9,Crime,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",,1994
The Lord of the Rings: The Return of the King,8.9,Adventure,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,,2003
Forrest Gump,8.8,Drama,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",2h 22min,1994
The Godfather: Part II,9.0,Crime,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",,1974
The Lord of the Rings: The Two Towers,8.7,Adventure,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",,2002
The Godfather,9.2,Crime,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,,1972
The Dark Knight,9.0,Action,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",,2008
"Il buono, il brutto, il cattivo",8.8,Western,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,142 min,1966
Psycho,8.5,Horror,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",,1960
Back to the Future,8.5,Adventure,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",,1985
Casablanca,8.5,Drama,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,,1942
Nuovo Cinema Paradiso,8.5,Drama,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,,1988
The Lion King,8.5,Animation,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",,1994
American History X,8.5,Drama,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,,1998
Once Upon a Time in the West,8.5,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,,1968
The Usual Suspects,8.5,Crime,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",,1995
Gladiator,8.5,Action,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,,2000
Léon,8.5,Action,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",,1994
Hotaru no haka,8.5,Animation,A young boy and his little sister struggle to survive in Japan during World War II.,,1988
Terminator 2: Judgment Day,8.5,Action,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",,1991
The Intouchables,8.5,Biography,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",,2011
The Pianist,8.5,Biography,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,,2002
The Prestige,8.5,Drama,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",,2006
Whiplash,8.5,Drama,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,,2014
Joker,8.5,Crime,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",,2019
Star Wars,8.6,Action,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",,1977
The Departed,8.5,Crime,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,,2006
Se7en,8.6,Crime,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",,1995
Anand,8.6,Drama,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",,1971
It's a Wonderful Life,8.6,Drama,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,,1946
Shichinin no samurai,8.6,Action,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,,1954
The Green Mile,8.6,Crime,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",,1999
Saving Private Ryan,8.6,Drama,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",,1998
The Silence of the Lambs,8.6,Crime,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",,1991
La vita è bella,8.6,Comedy,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",,1997
Full Metal Jacket,8.3,Drama,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,,1987
Reservoir Dogs,8.3,Crime,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",,1992
Come and See,,,,,
Casablanca,8.5,Drama,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,,1942
Braveheart,,,,,
Children of Heaven,8.3,Drama,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",,1997
Requiem for a Dream,8.3,"15 December 2000 (USA)
",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,,2000
Good Will Hunting,,,,,
American Beauty,8.3,Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,,1999
Inglourious Basterds,8.3,Adventure,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",,2009
Amélie,8.3,Comedy,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",,2001
Toy Story,,,,,
A Separation,8.3,"16 March 2011 (Iran)
",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,,2011
The Hunt,,,,,
Snatch,,,,,
Incendies,,,,,
Eternal Sunshine of the Spotless Mind,,,,,
Sunset Blvd.,8.5,"29 September 1950 (Australia)
",A screenwriter is hired to rework a faded silent film star's script only to find himself developing a dangerous relationship.,,1950
The Great Dictator,8.5,Comedy,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,,1940
Witness for the Prosecution,8.4,"6 February 1958 (USA)
",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,,1957
1917,8.3,Drama,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",,2019
High and Low,8.4,Crime,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,,1963
Alien,8.4,Horror,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",,1979
The Shining,8.4,Drama,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",142 min,1980
Oldboy,,,,,
Princess Mononoke,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,,,,
Apocalypse Now,,,,,
Indiana Jones and the Raiders of the Lost Ark,8.4,Action,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before",,1981
Like Stars on Earth,8.4,Drama,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",,2007
Memento,8.4,Mystery,A man with short-term memory loss attempts to track down his wife's murderer.,,2000
3 Idiots,,,,,
WALL·E,,,,,
The Lives of Others,,,,,
The Dark Knight Rises,,,,,
Django Unchained,8.4,Drama,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",,2012
Coco,,,,,
Avengers: Endgame,,,,,
Avengers: Infinity War,,,,,
Joker,,,,,
Dangal,,,,,
Your Name.,,,,,
City Lights,8.5,Comedy,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",,1931
Spider-Man: Into the Spider-Verse,,,,,
Hamilton,,,,,
Capernaum,8.4,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",,2018
Sen to Chihiro no kamikakushi,8.6,Animation,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",,2001
Modern Times,8.5,Comedy,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,,1936
Cidade de Deus,8.6,Crime,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",,2002
Interstellar,8.6,Adventure,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,,2014
Seppuku,8.7,Action,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",,1962
Gisaengchung,8.6,Comedy,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,,2019
Star Wars: Episode V - The Empire Strikes Back,8.7,Action,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",,1980
One Flew Over the Cuckoo's Nest,8.7,Drama,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",,1975
